pulocationid,trips,locationid,zone,borough,share
77,18778,77,East New York/Pennsylvania Avenue,Brooklyn,0.0021880756446951127
258,17631,258,Woodhaven,Queens,0.0020544233513483615
18,17339,18,Bedford Park,Bronx,0.0020203985303742975
160,17079,160,Middle Village,Queens,0.0019901024569042402
63,16767,63,Cypress Hills,Brooklyn,0.001953747168740172
241,16761,241,Van Cortlandt Village,Bronx,0.001953048028583171
174,16475,174,Norwood,Bronx,0.0019197223477661082
227,16361,227,Sunset Park East,Brooklyn,0.001906438684783083
121,15741,121,Hillcrest/Pomonok,Queens,0.0018341942018929476
250,15389,250,Westchester Village/Unionport,Bronx,0.0017931779793488704
86,14380,86,Far Rockaway,Queens,0.0016756059096131493
212,14323,212,Soundview/Bruckner,Bronx,0.001668964078121637
117,14057,117,Hammels/Arverne,Queens,0.0016379688644945786
29,14050,29,Brighton Beach,Brooklyn,0.001637153200978077
124,13834,124,Howard Beach,Queens,0.0016119841553260297
131,13823,131,Jamaica Estates,Queens,0.0016107023983715273
126,13610,126,Hunts Point,Bronx,0.0015858829227979807
207,13377,207,Saint Michaels Cemetery/Woodside,Queens,0.0015587329800344297
149,13288,149,Madison,Brooklyn,0.0015483624010389102
21,13165,21,Bensonhurst East,Brooklyn,0.0015340300278203832
248,13118,248,West Farms/Bronx River,Bronx,0.001528553429923873
203,12778,203,Rosedale,Queens,0.0014889354876937986
208,11933,208,Schuylerville/Edgewater Park,Bronx,0.0013904732489161133
185,11931,185,Pelham Parkway,Bronx,0.001390240202197113
259,11775,259,Woodlawn/Wakefield,Bronx,0.0013720625581150787
200,11659,200,Riverdale/North Riverdale/Fieldston,Bronx,0.0013585458484130534
81,11584,81,Eastchester,Bronx,0.001349806596450537
147,11537,147,Longwood,Bronx,0.0013443299985540268
32,11341,32,Bronxdale,Bronx,0.0013214914200919837
60,11182,60,Crotona Park East,Bronx,0.001302964205931449
180,10962,180,Ozone Park,Queens,0.001277329066841401
108,10937,108,Gravesend,Brooklyn,0.0012744159828538952
102,10780,102,Glendale,Queens,0.0012561218154123607
38,10715,38,Cambria Heights,Queens,0.0012485477970448466
139,10676,139,Laurelton,Queens,0.0012440033860243382
20,10421,20,Belmont,Bronx,0.0012142899293517823
192,10412,192,Queensboro Hill,Queens,0.0012132412191162801
67,10264,67,Dyker Heights,Brooklyn,0.001195995761910248
153,10091,153,Marble Hill,Manhattan,0.00117583722071671
8,9989,8,Astoria Park,Queens,0.0011639518380476875
178,9974,178,Ocean Parkway South,Brooklyn,0.0011622039876551843
94,9372,94,Fordham South,Bronx,0.0010920569252360526
171,9317,171,Murray Hill-Queens,Queens,0.0010856481404635404
19,9225,19,Bellerose,Queens,0.0010749279913895204
3,8386,3,Allerton/Pelham Gardens,Bronx,0.0009771648927688365
53,8369,53,College Point,Queens,0.0009751839956573329
16,8086,16,Bayside,Queens,0.0009422078849187708
11,8041,11,Bath Beach,Brooklyn,0.000936964333741261
122,7980,122,Hollis,Queens,0.0009298564088117478
150,7293,150,Manhattan Beach,Brooklyn,0.0008498048608350972
98,7104,98,Fresh Meadows,Queens,0.0008277819458895558
252,6973,252,Whitestone,Queens,0.0008125173857950271
101,6737,101,Glen Oaks,Queens,0.0007850178729529755
183,5491,183,Pelham Bay,Bronx,0.0006398297670157026
64,5416,64,Douglaston,Queens,0.0006310905150531861
128,5182,128,Inwood Hill Park,Manhattan,0.0006038240489301349
9,5028,9,Auburndale,Queens,0.0005858794515671011
120,4976,120,Highbridge Park,Manhattan,0.0005798202368730898
175,4925,175,Oakland Gardens,Queens,0.0005738775455385786
15,4364,15,Bay Terrace/Fort Totten,Queens,0.0005085079408589558
201,3972,201,Rockaway Park,Queens,0.00046283078393486994
31,3834,31,Bronx Park,Bronx,0.00044675056032383967
6,3653,6,Arrochar/Fort Wadsworth,Staten Island,0.00042565983225430003
154,3555,154,Marine Park/Floyd Bennett Field,Brooklyn,0.0004142405430232786
23,3399,23,Bloomfield/Emerson Hill,Staten Island,0.0003960628989412444
73,3353,73,East Flushing,Queens,0.0003907028244042344
240,3101,240,Van Cortlandt Park,Bronx,0.0003613389378101792
44,3056,44,Charleston/Tottenville,Staten Island,0.0003560953866326693
57,2829,57,Corona,Queens,0.00032964458402611954
96,2760,96,Forest Park/Highland Park,Queens,0.00032160447222060444
253,2612,253,Willets Point,Queens,0.0003043590150145721
221,2501,221,Stapleton,Staten Island,0.00029142492211004775
115,2243,115,Grymes Hill/Clifton,Staten Island,0.0002613618953589912
206,2200,206,Saint George/New Brighton,Staten Island,0.0002563513909004818
111,1851,111,Green-Wood Cemetery,Brooklyn,0.0002156847384349054
46,1521,46,City Island,Bronx,0.0001772320297998331
105,1445,105,Governor's Island/Ellis Island/Liberty Island,Manhattan,0.00016837625447781648
118,1387,118,Heartland Village/Todt Hill,Staten Island,0.00016161789962680376
2,1333,2,Jamaica Bay,Queens,0.00015532563821379195
5,1333,5,Arden Heights,Staten Island,0.00015532563821379195
184,1245,184,Pelham Bay Park,Bronx,0.00014507158257777268
156,1152,156,Mariners Harbor,Staten Island,0.0001342349101442523
58,928,58,Country Club,Bronx,0.00010813367761620325
245,903,245,West Brighton,Staten Island,0.00010522059362869778
214,843,214,South Beach/Dongan Hills,Staten Island,9.822919205868463e-05
251,736,251,Westerleigh,Staten Island,8.57611925921612e-05
59,575,59,Crotona Park,Bronx,6.700093171262593e-05
27,488,27,Breezy Point/Fort Tilden/Riis Beach,Queens,5.686339943610688e-05
172,424,172,New Dorp/Midland Beach,Staten Island,4.9405904428092855e-05
199,418,199,Rikers Island,Bronx,4.870676427109155e-05
